Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, wt_dcache_wbuffer__gen64__gen65__internal_typedef_167_73_8s__internal_typedef_167_49_layer0,0h:00m:05s,0h:00m:00s,0h:00m:00s,0h:00m:05s,   583 MB,   132 MB,     0 MB,     0 MB,   132 MB
work, rr_arb_tree__internal_typedef_167_74_8_32s_0_0_1_1_3__internal_typedef_169,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   583 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, perf_counters__gen52__gen53__gen54__gen55__gen56__gen57_68_4s_43_layer0,0h:00m:02s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   583 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, csr_regfile__internal_typedef_11__internal_typedef_19__internal_typedef_17__internal_typedef_8_65_Z40_layer0,0h:00m:07s,0h:00m:00s,0h:00m:00s,0h:00m:06s,   583 MB,    25 MB,     9 MB,     2 MB,    14 MB
work, scoreboard_rs3_len_t__internal_typedef_18__internal_typedef_11__internal_typedef_17_11_rs3_len_t_12_layer0,0h:00m:22s,0h:00m:00s,0h:00m:01s,0h:00m:21s,   720 MB,   235 MB,    28 MB,    59 MB,   148 MB
